"user_id","install_date","d1_active","d3_active","d7_active","d14_active"
"1000686",2023-02-05,0,0,0,0
"1000687",2023-02-05,1,0,0,0
"1000688",2023-02-05,0,0,0,0
"1000689",2023-02-05,0,0,0,0
"1000690",2023-02-05,1,0,0,0
"1000692",2023-02-05,0,0,0,0
"1000693",2023-02-05,0,0,0,0
"1000694",2023-02-05,0,0,0,0
"1000699",2023-02-05,1,0,0,0
"1000700",2023-02-05,0,0,0,0
"1000702",2023-02-05,0,0,0,0
"1000703",2023-02-05,0,0,0,0
"1000704",2023-02-05,0,0,0,0
"1000706",2023-02-05,0,0,0,0
"1000710",2023-02-05,0,0,0,0
"1000711",2023-02-05,0,0,0,0
"1000712",2023-02-05,1,0,0,0
"1000713",2023-02-05,0,0,0,0
"1000714",2023-02-05,0,0,0,0
"1000716",2023-02-05,0,0,0,0
"1000717",2023-02-05,0,0,0,0
"1000718",2023-02-05,0,0,0,0
"1000719",2023-02-05,0,0,0,0
"1000723",2023-02-05,0,0,0,0
"1000724",2023-02-05,0,0,0,0
"1000727",2023-02-05,1,0,0,0
"1000729",2023-02-05,0,0,0,0
"1000732",2023-02-05,0,0,0,0
"1000734",2023-02-05,0,0,0,0
"1000738",2023-02-05,0,0,0,0
"1000740",2023-02-05,0,0,0,0
"1000741",2023-02-05,0,0,0,0
"1000742",2023-02-05,0,0,0,0
"1000743",2023-02-05,0,0,0,0
"1000744",2023-02-05,0,0,0,0
"1000745",2023-02-05,0,0,0,0
"1000746",2023-02-05,0,0,0,0
"1000747",2023-02-05,0,0,0,0
"1000748",2023-02-05,0,0,0,0
"1000749",2023-02-05,0,0,0,0
"1000750",2023-02-05,0,0,0,0
"1000751",2023-02-05,0,0,0,0
"1000752",2023-02-05,0,0,0,0
"1000754",2023-02-05,0,0,0,0
"1000755",2023-02-05,0,0,0,0
"1000757",2023-02-05,0,0,0,0
"1000758",2023-02-05,0,0,0,0
"1000761",2023-02-05,0,0,0,0
"1000762",2023-02-05,0,0,0,0
"1000764",2023-02-05,0,0,0,0
"1000765",2023-02-05,0,0,0,0
"1000766",2023-02-05,0,0,0,0
"1000770",2023-02-05,0,0,0,0
"1000772",2023-02-05,0,0,0,0
"1000773",2023-02-05,0,0,0,0
"1000775",2023-02-05,0,0,0,0
"1000776",2023-02-05,0,0,0,0
"1000777",2023-02-05,0,0,0,0
"1000778",2023-02-05,1,0,0,0
"1000782",2023-02-05,0,0,0,0
"1000783",2023-02-05,0,0,0,0
"1000787",2023-02-05,0,0,0,0
"1000788",2023-02-05,0,0,0,0
"1000790",2023-02-05,0,0,0,0
"1000793",2023-02-05,0,0,0,0
"1000799",2023-02-05,0,0,0,0
"1000800",2023-02-05,1,0,0,0
"1000801",2023-02-05,0,0,0,0
"1000803",2023-02-05,0,0,0,0
"1000810",2023-02-05,0,0,0,0
"1000812",2023-02-05,0,0,0,0
"1000813",2023-02-05,0,0,0,0
"1000814",2023-02-05,0,0,0,0
"1000816",2023-02-06,0,0,0,0
"1000817",2023-02-06,0,0,0,0
"1000819",2023-02-06,0,0,0,0
"1000823",2023-02-06,0,0,0,0
"1000825",2023-02-06,0,0,0,0
"1000826",2023-02-06,0,0,0,0
"1000828",2023-02-06,0,0,0,0
"1000829",2023-02-06,0,0,0,0
"1000834",2023-02-06,0,0,0,0
"1000835",2023-02-06,0,0,0,0
"1000837",2023-02-06,0,0,0,0
"1000838",2023-02-06,0,0,0,0
"1000841",2023-02-06,0,0,0,0
"1000842",2023-02-06,0,0,0,0
"1000846",2023-02-06,0,0,0,0
"1000848",2023-02-06,0,0,0,0
"1000849",2023-02-06,1,0,0,0
"1000850",2023-02-06,0,0,0,0
"1000852",2023-02-06,0,0,0,0
"1000853",2023-02-06,0,0,0,0
"1000857",2023-02-06,0,0,0,0
"1000858",2023-02-06,1,0,0,0
"1000859",2023-02-06,0,0,0,0
"1000860",2023-02-06,0,0,0,0
"1000861",2023-02-06,0,0,0,0
"1000862",2023-02-06,0,0,0,0
"1000863",2023-02-06,0,0,0,0
"1000865",2023-02-06,0,0,0,0
"1000866",2023-02-06,0,0,0,0
"1000873",2023-02-06,0,0,0,0
"1000874",2023-02-06,0,0,0,0
"1000878",2023-02-06,1,0,0,0
"1000879",2023-02-06,0,0,0,0
"1000880",2023-02-06,0,0,0,0
"1000881",2023-02-06,0,0,0,0
"1000882",2023-02-06,0,0,0,0
"1000883",2023-02-06,0,0,0,0
"1000884",2023-02-06,0,0,0,0
"1000885",2023-02-06,0,0,0,0
"1000889",2023-02-06,0,0,0,0
"1000890",2023-02-06,0,0,0,0
"1000894",2023-02-06,0,0,0,0
